item_id	name	description	unit_price	category	sku	stock	pic_filename
2	CAIXA ORGANIZADOR UNIJET 20 LITROS TRANSPARENTE		30.00	Geral	7899335404521	1.000	NULL
3	cabo de transmissão  audio e video  timbomdom		8.00	Geral	2018838300108	1.000	NULL
4	FILTRO PERMANENTE PRA CAFÉ 103		6.00	UTILIDADES	7898184080030	1.000	NULL
5	KIT TOP HEROES  HOMEN ARANHA		30.00	Geral	7908071500975	1.000	NULL
6	squeeze ditoy  1 litro		16.00	PLASTICOS	7896187113090	1.000	NULL
7	SWEEZE  ROSA 1 LITRO		5.00	UTILIDADES	7896908223756	1.000	NULL
8	tips   trasparente		15.00	Geral	8955155810726	1.000	NULL
9	banho maria 4x1 grafite		82.00	COZINHA	7898463544802	1.000	NULL
10	cesta de palha media n20		30.00	Geral	NULL	1.000	NULL
11	CESTO FECHADO  97 LITROS		73.00	UTILIDADES	7897848715219	1.000	NULL
12	CHAVEIRO STITI		15.00	Geral	NULL	1.000	NULL
13	compasso escolar  metal silver		15.00	ESCOLAR	7897185953923	1.000	NULL
14	copo   WHEATON   avulso		2.50	VIDROS	7891240086618	1.000	NULL
15	e. v;a  amarelo		3.00	Geral	7899411520251	1.000	NULL
16	foram de pizza n 3		24.00	COZINHA	7898917301401	1.000	NULL
17	humos de minhoca		4.50	Geral	NULL	1.000	NULL
18	kit diver massa		20.00	Geral	7898639381095	1.000	NULL
19	kit saco de presente 45x57 mas laço		6.00	kit FESTA	7897864602319	1.000	NULL
20	MOCHILA ORDINARY UNIQUE  SORTIDA STIST C ESTOJO		70.00	Geral	NULL	1.000	NULL
21	numéros		8.00	kit FESTA	8202316005553	1.000	NULL
22	ORGANIZADORA DE 3 CESTOS PRETA ARQPLAST		36.00	COZINHA	7908439801362	1.000	NULL
23	PALETA SOMBRAS E BATON TEEM		20.00	Geral	7908542607547	1.000	NULL
24	pequeno		10.00	Geral	NULL	1.000	NULL
25	vaso cuia 31 preto  GRANDE		15.00	UTILIDADES	7898521060817	1.000	NULL
26	vaso de parede   tabaco		12.00	Geral	7896403216925	1.000	NULL
27	.		5.00	Geral	NULL	1.000	NULL
28	.		10.00	Geral	NULL	1.000	NULL
29	.		82.00	Geral	NULL	1.000	NULL
30	]		40.00	Geral	NULL	1.000	NULL
31	´regua		2.00	Geral	NULL	1.000	NULL
32	049774018293		15.00	Geral	NULL	1.000	NULL
33	1 METRO DE ELÁSTICO		2.00	Geral	NULL	1.000	NULL
34	1 METRO DE ELÁSTICO 15mm		2.00	UTILIDADES	7897495200205	1.000	NULL
35	1 METRO DE ELÁSTICO REAL		1.00	UTILIDADES	7896554834122	1.000	NULL
36	1 METRO DE TNT AMARELO		4.00	Geral	NULL	1.000	NULL
37	1 METRO DE TNT MARROM		4.00	Geral	NULL	1.000	NULL
38	1 METRO DE TNT MARROM		4.50	Geral	NULL	1.000	NULL
39	1 METRO DE TNT PRETO		4.00	Geral	NULL	1.000	NULL
40	1 METRO DE TNT ROSA		5.00	Geral	NULL	1.000	NULL
41	1 METRO DE TNT VERDE ESCURO		4.00	PAPELARIA	NULL	1.000	NULL
42	1 METRO DE TNT VERMELHO		4.00	Geral	NULL	1.000	NULL
43	2 PILHA		4.00	Geral	NULL	1.000	NULL
44	2 POTES QUAD. GRANDES ERCA 1300ML		8.50	PLASTICOS	7898502717976	1.000	NULL
45	2 POTES REDONDOS GG 1,5L		8.50	PLASTICOS	7898264715548	1.000	NULL
46	2 POTES RETANGULARES GRANDES ERCA PLAST		8.50	PLASTICOS	7898502717952	1.000	NULL
47	3 POTES REDONDOS PMG ERCA PLAST		8.50	PLASTICOS	7898502717884	1.000	NULL
48	4 CARRINHOS COLORIDOS		20.00	BRINQUEDOS	7899632507376	1.000	NULL
49	4 CARRINHOS DE FERRO		40.00	BRINQUEDOS	NULL	1.000	NULL
50	4 CARRINHOS DE FERRO ROSA		40.00	BRINQUEDOS	7899984628736	1.000	NULL
51	4 POTES QUADRADOS LEITOSO ERCA PLAST		7.50	PLASTICOS	7898502719659	1.000	NULL
52	4 POTES QUADRADOS TRANSPARENTE ERCA PLAST		7.50	PLASTICOS	7898502719642	1.000	NULL
53	4 POTES REDONDO MINI		6.00	Geral	7898502719680	1.000	NULL
54	5555555555555555555555555555555555555555555555555555555555555555		999999.99	Geral	NULL	1.000	NULL
55	7891240036729		999999.99	Geral	NULL	1.000	NULL
56	7897848700185		1.00	Geral	7897848700185	1.000	NULL
57	7898610101650		999999.99	Geral	7898610101650	1.000	NULL
58	7898918965145		5.50	Geral	NULL	1.000	NULL
59	7898936774170		7.80	Geral	NULL	1.000	NULL
60	7898994125914		6.00	Geral	NULL	1.000	NULL
61	790843980403		15.00	Geral	NULL	1.000	NULL
62	8		28.50	Geral	NULL	1.000	NULL
63	a largador		4.00	Geral	NULL	1.000	NULL
64	abajour de tomada sapo		12.00	Geral	7899454440455	1.000	NULL
65	abajour nuvem		9.00	Geral	7898663725490	1.000	NULL
66	ABAJUR DE TOMADA		8.50	UTILIDADES	7898673631972	1.000	NULL
67	ABAJUR DE TOMADA MAXMIDIA BIVOLT		12.00	Geral	7899454432108	1.000	NULL
68	ABRAÇADEIRA DE MANGUEIRA		3.00	Geral	NULL	1.000	NULL
69	ABRIDOR DE GARRAFA		7.50	UTILIDADES	7898644235338	1.000	NULL
70	ABRIDOR DE GARRAFAS		5.50	UTILIDADES	7899527129362	1.000	NULL
71	ABRIDOR DE LATA		4.00	UTILIDADES	7898955345078	1.000	NULL
72	ABRIDOR DE LATA		3.00	Geral	7898955345467	1.000	NULL
73	ABRIDOR DE TAMPA P/ GARRAFÃO		10.00	UTILIDADES	7898322750016	1.000	NULL
74	ACENDEDOR DE FOGÃO		8.50	UTILIDADES	7898611090922	1.000	NULL
75	acendedor de fogão		10.00	COZINHA	7899866276789	1.000	NULL
76	ACENDEDOR DE FOGÃO		12.00	UTILIDADES	7899850332941	1.000	NULL
77	ACENDEDOR DE FOGÃO		9.80	COZINHA	7908593504413	1.000	NULL
78	ACENDEDOR DE FOGÃO ART HOUSE		9.00	UTILIDADES	7899658403935	1.000	NULL
79	ACENDEDOR DE FOGÃO L&T UTILIDADES		12.00	Geral	7908139507830	1.000	NULL
80	ACENDEDOR DE FOGÃO LUME		10.70	UTILIDADES	7898409910517	1.000	NULL
81	ACENDEDOR DE FOGÃO LUZ ELITE		15.00	UTILIDADES	7898608573155	1.000	NULL
82	ACETONA BEIRA ALTA		3.50	COSMÉTICOS	7896213306076	1.000	NULL
83	ACETONA ZULU		5.00	COSMÉTICOS	7896090700455	1.000	NULL
84	aco de presente  natal 20x30		3.00	Geral	7897864804287	1.000	NULL
85	ACRESCIMO		1.00	Geral	NULL	1.000	NULL
86	AÇUCAREIRO		5.00	UTILIDADES	7899335402701	1.000	NULL
87	AÇUCAREIRO		8.50	UTILIDADES	7897698235097	1.000	NULL
88	AÇUCAREIRO ACRILICO		6.00	Geral	7898264716309	1.000	NULL
89	AÇUCAREIRO FARINHEIRO 600 ML		5.00	Geral	7898972314361	1.000	NULL
90	AÇUCAREIRO JOY 1,05L - SHINE		8.50	UTILIDADES	7897698235028	1.000	NULL
91	AÇUCAREIRO TRASPARENTE PLASMONT		4.50	UTILIDADES	7898378694401	1.000	NULL
92	ADAPTADOR AC PRETO		10.00	Geral	NULL	1.000	NULL
93	ADAPTADOR DE TOMADA 20A		7.00	Geral	NULL	1.000	NULL
94	adaptador t		7.00	Geral	NULL	1.000	NULL
95	ADAPTADOR USB 10W		25.00	ELETRÔNICOS E ACESSÓRIOS	7898395002067	1.000	NULL
96	ADAPTADOR USB BRANCO		10.00	Geral	NULL	1.000	NULL
97	ADAPTADOR USB BRANCO P/CARRO		5.00	Geral	NULL	1.000	NULL
98	ADAPTADOR USB BRANCO P/TOMADA		10.00	Geral	NULL	1.000	NULL
99	ADAPTADOR USB PRETO P/CARRO		10.00	Geral	NULL	1.000	NULL
100	ADESIVO DE PRESENTE		0.50	Geral	NULL	1.000	NULL
101	adesivo de unha		15.00	Geral	NULL	1.000	NULL
102	ADESIVO DE UNHA		2.00	Geral	4690302056155	1.000	NULL
103	adesivo escolar		5.00	Geral	NULL	1.000	NULL
104	ADESIVO GRANDE infantil persongens		5.00	Geral	NULL	1.000	NULL
105	adesivo persornagens		5.00	Geral	NULL	1.000	NULL
106	ADESIVOS DE UNHA KING		2.00	UTILIDADES	5554443322212	1.000	NULL
107	ADESIVOS DE UNHA NAIL		3.00	Geral	6971173340061	1.000	NULL
108	ADESIVOS P/ POR NO CADERNO		2.00	Geral	NULL	1.000	NULL
109	ADESIVOS P/ POR NO CADERNO C/6		1.50	Geral	7891080000126	1.000	NULL
110	ADUBO DE CURRAL		3.50	Geral	7898947483153	1.000	NULL
111	advenges		86.00	Geral	7890201600610	1.000	NULL
112	AFIADOR DE FACAS		25.00	COZINHA	7800715357078	1.000	NULL
113	AFIADOR DE FACAS		25.00	Geral	7898684171085	1.000	NULL
114	AFIADOR DE FACAS PRATIC ROLLER		24.00	UTILIDADES	742832620871	1.000	NULL
115	agenda		5.00	Geral	7897571910837	1.000	NULL
116	AGENDA  LOVE		15.00	Geral	7908281364213	1.000	NULL
117	agenda  stitch bob grud		50.00	Geral	NULL	1.000	NULL
118	AGENDA 2026		30.00	Geral	7891100068457	1.000	NULL
119	AGENDA 2026		30.00	Geral	7891100068389	1.000	NULL
120	AGENDA 2026		30.00	Geral	7891100068440	1.000	NULL
121	AGENDA 2026		30.00	Geral	7891100068372	1.000	NULL
122	AGENDA 2026		30.00	Geral	7891100068402	1.000	NULL
123	agenda de 20		20.00	Geral	NULL	1.000	NULL
124	agenda escolar		15.00	Geral	7908281390717	1.000	NULL
125	AGENDA ESCOLAR		15.00	Geral	7908281364206	1.000	NULL
126	agenda escolar sortida		15.00	Geral	7908281364190	1.000	NULL
127	agenda grande		25.00	Geral	7908281390809	1.000	NULL
128	AGENDA PEQUENA		10.00	PAPELARIA	7908161735089	1.000	NULL
129	AGENDA PERMANENTE C/ 120 PGS 114X160MM		12.00	PAPELARIA	7898205452532	1.000	NULL
130	AGENDINHA ALCE ABYARA		7.00	PAPELARIA	7898903700508	1.000	NULL
131	AGENDINHA CORUJA		15.00	PAPELARIA	6970104054022	1.000	NULL
132	AGENDINHA DE EMOJIS		15.00	PAPELARIA	6970101054094	1.000	NULL
133	AGENDINHA FASHION		15.00	PAPELARIA	6970104054763	1.000	NULL
134	AGENDINHA PRINCESAS		15.00	PAPELARIA	6970104054060	1.000	NULL
135	AGENDINHA TOME NOTA CREDEAL		4.80	PAPELARIA	7891253215067	1.000	NULL
136	ÁGUA SANITÁRIA CONDE CLORO ATIVO		3.00	LIMPEZA	7896090300075	1.000	NULL
137	ÁGUA SANITÁRIA OLIMPO 1L CLORO ATIVO		3.00	Geral	7896013100461	1.000	NULL
138	AGUA SANITARIA SUPREMA		3.50	Geral	7896524726457	1.000	NULL
139	agulha avulsa		2.00	Geral	NULL	1.000	NULL
140	AGULHA DE COSTURA		2.00	Geral	NULL	1.000	NULL
141	AGULHA DE COSTURA		1.00	Geral	NULL	1.000	NULL
142	AGULHA DE FOGAO		2.00	UTILIDADES	7898955345481	1.000	NULL
143	agulha de fogão		1.00	Geral	7898081820487	1.000	NULL
144	AGULHA DE MAQUINA DE COSTURA		1.00	Geral	NULL	1.000	NULL
145	AGULHA DE MAQUINA DE COSTURA		2.00	Geral	NULL	1.000	NULL
146	AGULHA SOLTA		2.00	Geral	NULL	1.000	NULL
147	AGULHA XH		3.00	Geral	NULL	1.000	NULL
148	AGULHAS DE COSTURA		2.18	UTILIDADES	7895258112420	1.000	NULL
149	AGULHEIRO KIT		2.00	UTILIDADES	7898969481090	1.000	NULL
